name,winery,year,rating,num_ratings,price,type,region
Pinotage 2019,Golden Kaan,2019,3.7,138,5.79,Red,Western Cape
Melck's Blended Red 2015,Muratie,2015,3.7,138,9.05,Red,Stellenbosch
Fronsac 2010,Château du Carillon,2010,3.6,138,9.9,Red,Fronsac
Le Naturel Red 2019,Aroa,2019,3.6,138,12.95,Red,Navarra
Tinto 2009,Vadio,2009,3.8,138,25.9,Red,Bairrada
Pessac-Léognan (Grand Cru Classé de Graves) 2016,Château de Fieuzal,2016,4.0,138,51.66,Red,Pessac-Léognan
Private Bin Merlot - Cabernet Sauvignon 2018,Villa Maria,2018,3.6,138,11.95,Red,Hawke's Bay
Ultra Cabernet Sauvignon 2016,Kaiken,2016,3.8,1381,16.09,Red,Mendoza
Meandro Douro Tinto 2017,Quinta do Vale Meão,2017,4.0,1381,15.5,Red,Douro
Diamond Collection Merlot (Blue Label) 2016,Francis Ford Coppola,2016,3.8,1381,26.31,Red,Napa Valley
La Groletta Amarone della Valpolicella 2016,Corte Giara,2016,4.1,1382,33.76,Red,Amarone della Valpolicella
Gattinara 2016,Travaglini,2016,4.0,1387,29.24,Red,Gattinara
Pipoli Aglianico del Vulture 2018,Vigneti del Vulture,2018,3.8,139,5.9,Red,Aglianico del Vulture
Pinot Noir Pequeñas Producciones 2017,Casas del Bosque,2017,3.9,139,28.95,Red,Casablanca Valley
Bons Ventos Rouge 2018,Casa Santos Lima,2018,3.6,139,5.75,Red,Lisboa
Bordeaux 2012,Domaine de Valmengaux,2012,4.1,139,34.71,Red,Bordeaux
Just Fucking Good Wine Organic Tinto 2018,Neleman,2018,3.7,139,14.44,Red,Valencia
Altitud Merlot 2015,Andeluna,2015,3.7,139,16.17,Red,Tupungato
Doña Margarita Vineyard Mas Cavalls Pinot Noir 2016,Marimar Estate,2016,4.2,139,56.4,Red,Sonoma Coast
Black Label Syrah - Monastrell 2017,Bodegas Piqueras,2017,3.5,139,6.72,Red,Almansa
Merlot (Jan Fiskaal) 2016,MAN,2016,3.5,139,7.19,Red,Coastal Region
Château Brassac Bordeaux Supérieur 2015,Kressmann,2015,3.3,139,9.26,Red,Bordeaux Supérieur
Autour de Jonquières Terrasses du Larzac 2015,Mas Jullien,2015,4.0,139,31.39,Red,Terrasses du Larzac
La Rosine Syrah 2017,Michel & Stéphane Ogier,2017,4.0,139,19.9,Red,Collines Rhodaniennes
Saint-Joseph Lieu-Dit 2016,E. Guigal,2016,4.4,139,46.64,Red,Saint-Joseph
Kurni Marche 2017,Oasi degli Angeli,2017,4.6,139,106.6,Red,Marche
Mi Pueblo Cabernet Sauvignon 2019,Viña Maipo,2019,3.3,139,6.5,Red,Central Valley
Jois Blaufrankisch 2016,Scheiblhofer,2016,3.8,139,26.22,Red,Burgenland
San Nicolao Barbera d'Asti 2018,Vite Colte,2018,3.2,139,6.1,Red,Barbera d'Asti
Haut-Médoc 2014,Château Fontesteau,2014,3.7,139,18.86,Red,Haut-Médoc
